Time(s),Count,PeakQueue(%),AvgLatency(us),AttacksTotal
0.1,0,0.00,0.00,0
0.2,0,0.00,0.00,0
0.3,0,0.00,0.00,0
0.4,0,0.00,0.00,0
0.5,0,0.00,0.00,0
0.6,0,0.00,0.00,0
0.7,0,0.00,0.00,0
0.8,0,0.00,0.00,0
0.9,0,0.00,0.00,0
1.0,0,0.00,0.00,0
1.1,0,0.00,0.00,0
1.2,0,0.00,0.00,0
1.3,0,0.00,0.00,0
1.4,0,0.00,0.00,0
1.5,0,0.00,0.00,0
1.6,0,0.00,0.00,0
1.7,0,0.00,0.00,0
1.8,0,0.00,0.00,0
1.9,0,0.00,0.00,0
2.0,0,0.00,0.00,0
2.1,1479,14.79,1859.08,1479
2.2,0,0.00,0.00,1479
2.3,0,0.00,0.00,1479
2.4,0,0.00,0.00,1479
2.5,0,0.00,0.00,1479
2.6,0,0.00,0.00,1479
2.7,0,0.00,0.00,1479
2.8,1724,17.24,2353.02,3203
2.9,0,0.00,0.00,3203
3.0,0,0.00,0.00,3203
3.1,0,0.00,0.00,3203
3.2,0,0.00,0.00,3203
3.3,0,0.00,0.00,3203
3.4,0,0.00,0.00,3203
3.5,0,0.00,0.00,3203
3.6,1724,17.24,2227.69,4927
3.7,0,0.00,0.00,4927
3.8,0,0.00,0.00,4927
3.9,0,0.00,0.00,4927
4.0,0,0.00,0.00,4927
4.1,0,0.00,0.00,4927
4.2,0,0.00,0.00,4927
4.3,1724,17.24,2241.49,6651
4.4,0,0.00,0.00,6651
4.5,0,0.00,0.00,6651
4.6,0,0.00,0.00,6651
4.7,0,0.00,0.00,6651
4.8,0,0.00,0.00,6651
4.9,0,0.00,0.00,6651
5.0,1724,17.24,2888.23,8375
5.1,0,0.00,0.00,8375
5.2,0,0.00,0.00,8375
5.3,0,0.00,0.00,8375
5.4,0,0.00,0.00,8375
5.5,0,0.00,0.00,8375
5.6,0,0.00,0.00,8375
5.7,0,0.00,0.00,8375
5.8,1724,17.24,2147.30,10099
