Time(s),Count,PeakQueue(%),AvgLatency(us),AttacksTotal
0.1,0,0.00,0.00,0
0.2,0,0.00,0.00,0
0.3,0,0.00,0.00,0
0.4,0,0.00,0.00,0
0.5,0,0.00,0.00,0
0.6,0,0.00,0.00,0
0.7,0,0.00,0.00,0
0.8,0,0.00,0.00,0
0.9,0,0.00,0.00,0
1.0,0,0.00,0.00,0
1.1,0,0.00,0.00,0
1.2,0,0.00,0.00,0
1.3,0,0.00,0.00,0
1.4,0,0.00,0.00,0
1.5,0,0.00,0.00,0
1.6,0,0.00,0.00,0
1.7,0,0.00,0.00,0
1.8,0,0.00,0.00,0
1.9,0,0.00,0.00,0
2.0,0,0.00,0.00,0
2.1,0,0.00,0.00,0
2.2,0,0.00,0.00,0
2.3,0,0.00,0.00,0
2.4,0,0.00,0.00,0
2.5,0,0.00,0.00,0
2.6,0,0.00,0.00,0
2.7,0,0.00,0.00,0
2.8,0,0.00,0.00,0
2.9,0,0.00,0.00,0
3.0,0,0.00,0.00,0
3.1,1159,11.59,1401.23,1159
3.2,0,0.00,0.00,1159
3.3,0,0.00,0.00,1159
3.4,0,0.00,0.00,1159
3.5,0,0.00,0.00,1159
3.6,0,0.00,0.00,1159
3.7,0,0.00,0.00,1159
3.8,0,0.00,0.00,1159
3.9,1724,0.03,14.40,2883
4.0,0,0.00,0.00,2883
4.1,0,0.00,0.00,2883
4.2,0,0.00,0.00,2883
4.3,0,0.00,0.00,2883
4.4,0,0.00,0.00,2883
4.5,0,0.00,0.00,2883
4.6,1393,0.01,12.89,4276
4.7,331,0.01,13.63,4607
4.8,0,0.00,0.00,4607
4.9,0,0.00,0.00,4607
5.0,0,0.00,0.00,4607
5.1,0,0.00,0.00,4607
5.2,0,0.00,0.00,4607
5.3,0,0.00,0.00,4607
5.4,1724,0.01,13.10,6331
5.5,0,0.00,0.00,6331
5.6,0,0.00,0.00,6331
5.7,0,0.00,0.00,6331
5.8,0,0.00,0.00,6331
5.9,0,0.00,0.00,6331
