Time(s),Count,PeakQueue(%),AvgLatency(us),AttacksTotal
0.1,0,0.00,0.00,0
0.2,0,0.00,0.00,0
0.3,0,0.00,0.00,0
0.4,0,0.00,0.00,0
0.5,0,0.00,0.00,0
0.6,0,0.00,0.00,0
0.7,0,0.00,0.00,0
0.8,0,0.00,0.00,0
0.9,0,0.00,0.00,0
1.0,0,0.00,0.00,0
1.1,0,0.00,0.00,0
1.2,0,0.00,0.00,0
1.3,0,0.00,0.00,0
1.4,0,0.00,0.00,0
1.5,0,0.00,0.00,0
1.6,0,0.00,0.00,0
1.7,0,0.00,0.00,0
1.8,0,0.00,0.00,0
1.9,0,0.00,0.00,0
2.0,0,0.00,0.00,0
2.1,529,5.29,695.64,0
2.2,0,0.00,0.00,0
2.3,0,0.00,0.00,0
2.4,0,0.00,0.00,0
2.5,0,0.00,0.00,0
2.6,0,0.00,0.00,0
2.7,0,0.00,0.00,0
2.8,0,0.00,0.00,0
2.9,0,0.00,0.00,0
3.0,367,3.26,2321.11,0
3.1,1440,0.83,26.39,82
3.2,0,0.00,0.00,82
3.3,0,0.00,0.00,82
3.4,0,0.00,0.00,82
3.5,0,0.00,0.00,82
3.6,0,0.00,0.00,82
3.7,0,0.00,0.00,82
3.8,553,0.01,15.19,82
3.9,2895,13.27,1917.43,1806
4.0,0,0.00,0.00,1806
4.1,0,0.00,0.00,1806
4.2,0,0.00,0.00,1806
4.3,0,0.00,0.00,1806
4.4,0,0.00,0.00,1806
4.5,0,0.00,0.00,1806
4.6,0,0.00,0.00,1806
4.7,1724,6.08,930.01,1806
4.8,1724,17.24,2184.94,3530
4.9,0,0.00,0.00,3530
5.0,0,0.00,0.00,3530
5.1,0,0.00,0.00,3530
5.2,0,0.00,0.00,3530
5.3,0,0.00,0.00,3530
5.4,0,0.00,0.00,3530
5.5,1724,0.01,16.37,3530
5.6,0,0.00,0.00,3530
5.7,1724,10.62,901.92,5254
5.8,0,0.00,0.00,5254
5.9,0,0.00,0.00,5254
