Time(s),Count,PeakQueue(%),AvgLatency(us),AttacksTotal
0.1,0,0.00,0.00,0
0.2,0,0.00,0.00,0
0.3,0,0.00,0.00,0
0.4,0,0.00,0.00,0
0.5,0,0.00,0.00,0
0.6,0,0.00,0.00,0
0.7,0,0.00,0.00,0
0.8,0,0.00,0.00,0
0.9,0,0.00,0.00,0
1.0,0,0.00,0.00,0
1.1,0,0.00,0.00,0
1.2,0,0.00,0.00,0
1.3,0,0.00,0.00,0
1.4,0,0.00,0.00,0
1.5,0,0.00,0.00,0
1.6,0,0.00,0.00,0
1.7,0,0.00,0.00,0
1.8,0,0.00,0.00,0
1.9,0,0.00,0.00,0
2.0,0,0.00,0.00,0
2.1,700,70.00,972.80,700
2.2,0,0.00,0.00,700
2.3,0,0.00,0.00,700
2.4,0,0.00,0.00,700
2.5,0,0.00,0.00,700
2.6,0,0.00,0.00,700
2.7,0,0.00,0.00,700
2.8,1092,100.00,1407.99,1792
2.9,632,0.10,14.20,2424
3.0,0,0.00,0.00,2424
3.1,0,0.00,0.00,2424
3.2,0,0.00,0.00,2424
3.3,0,0.00,0.00,2424
3.4,0,0.00,0.00,2424
3.5,0,0.00,0.00,2424
3.6,439,0.10,14.15,2863
3.7,1285,0.10,13.98,4148
3.8,0,0.00,0.00,4148
3.9,0,0.00,0.00,4148
4.0,0,0.00,0.00,4148
4.1,0,0.00,0.00,4148
4.2,0,0.00,0.00,4148
4.3,0,0.00,0.00,4148
4.4,240,0.10,13.29,4388
4.5,1484,0.10,12.95,5872
4.6,0,0.00,0.00,5872
4.7,0,0.00,0.00,5872
4.8,0,0.00,0.00,5872
4.9,0,0.00,0.00,5872
5.0,0,0.00,0.00,5872
5.1,0,0.00,0.00,5872
5.2,1724,0.10,14.50,7596
5.3,0,0.00,0.00,7596
5.4,0,0.00,0.00,7596
5.5,0,0.00,0.00,7596
5.6,0,0.00,0.00,7596
5.7,0,0.00,0.00,7596
5.8,0,0.00,0.00,7596
5.9,0,0.00,0.00,7596
