Time(s),Count,PeakQueue(%),AvgLatency(us),AttacksTotal
0.1,0,0.00,0.00,0
0.2,0,0.00,0.00,0
0.3,0,0.00,0.00,0
0.4,0,0.00,0.00,0
0.5,0,0.00,0.00,0
0.6,0,0.00,0.00,0
0.7,0,0.00,0.00,0
0.8,0,0.00,0.00,0
0.9,0,0.00,0.00,0
1.0,0,0.00,0.00,0
1.1,0,0.00,0.00,0
1.2,0,0.00,0.00,0
1.3,0,0.00,0.00,0
1.4,0,0.00,0.00,0
1.5,0,0.00,0.00,0
1.6,0,0.00,0.00,0
1.7,0,0.00,0.00,0
1.8,0,0.00,0.00,0
1.9,0,0.00,0.00,0
2.0,0,0.00,0.00,0
2.1,0,0.00,0.00,0
2.2,0,0.00,0.00,0
2.3,0,0.00,0.00,0
2.4,0,0.00,0.00,0
2.5,0,0.00,0.00,0
2.6,0,0.00,0.00,0
2.7,0,0.00,0.00,0
2.8,0,0.00,0.00,0
2.9,0,0.00,0.00,0
3.0,0,0.00,0.00,0
3.1,1539,61.56,1972.93,1538
3.2,0,0.00,0.00,1538
3.3,0,0.00,0.00,1538
3.4,0,0.00,0.00,1538
3.5,0,0.00,0.00,1538
3.6,0,0.00,0.00,1538
3.7,0,0.00,0.00,1538
3.8,0,0.00,0.00,1538
3.9,0,0.00,0.00,1538
4.0,1724,68.96,2368.22,3262
4.1,1263,50.52,1604.24,3262
4.2,0,0.00,0.00,3262
4.3,0,0.00,0.00,3262
4.4,0,0.00,0.00,3262
4.5,0,0.00,0.00,3262
4.6,0,0.00,0.00,3262
4.7,0,0.00,0.00,3262
4.8,1724,68.96,2545.99,4986
4.9,1724,68.96,2435.69,4986
5.0,0,0.00,0.00,4986
5.1,0,0.00,0.00,4986
5.2,0,0.00,0.00,4986
5.3,0,0.00,0.00,4986
5.4,0,0.00,0.00,4986
5.5,0,0.00,0.00,4986
5.6,1724,68.96,2934.08,6710
5.7,0,0.00,0.00,6710
5.8,1724,67.88,2239.46,6710
